Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_FANATIC_PEARL_SKIN,Pearl Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_PHALANX_BLUE,Phalanx Blue,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_PHARAOH_GUARD,Pharaoh Guard,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_PINK_POTION,Pink Potion,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_PLASMA_COIL_GLOW,Plasma Coil Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_PLATE_MAIL_METAL,Plate Mail Metal,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_POWER_NODE_GLOW,Power Node Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_QUARTZ_SKIN,Quartz Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_RADIATION_GLOW,Radiation Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_RAGING_ROSE,Raging Rose,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_ROUGH_IRON,Rough Iron,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_RUBY_SKIN,Ruby Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_RUST_TONE,Rust Tone,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_SACRED_SCARLET,Sacred Scarlet,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_SOFT_TONE,Soft Tone,Fanatic,Wash/Shade,No Match Found,,,,,,,,Review
AP_FANATIC_STRATOS_BLUE,Stratos Blue,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_STRONG_SKIN_SHADE,Strong Skin Shade,Fanatic,Wash/Shade,No Match Found,,,,,,,,Review
AP_FANATIC_TAINTED_GOLD,Tainted Gold,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_TOPAZ_SKIN,Topaz Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_TOURMALINE_SKIN,Tourmaline Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_TRUE_COPPER,True Copper,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_VIVID_VOLT,Vivid Volt,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_WARPAINTS_RETARDER,Warpaints Retarder,Fanatic,Auxiliary,No Match Found,,,,,,,,Review
AP_FANATIC_WARPAINTS_STABILIZER,Warpaints Stabilizer,Fanatic,Auxiliary,No Match Found,,,,,,,,Review
AP_FANATIC_WASH_MEDIUM,Wash Medium,Fanatic,Wash/Shade,No Match Found,,,,,,,,Review
AP_FANATIC_WILD_GREEN,Wild Green,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_WILTED_ROSE,Wilted Rose,Fanatic,Acrylic,No Match Found,,,,,,,,Review
